date,station,pms_ls,pms_rtt,pms_topp,ago_ls,ago_rtt,ago_topp,pmscl_stock,pms_prod,agocl_stock,ago_prod,pms_var,ago_var,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,mantuk,240.7,,,694.04,,,9240,,4670,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,drob,224.13,,,198.32,,,8010,,8360,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,afrisi,677.76,,,488.76,,,5740,,9370,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,ntrotr,1038.82,,,264.83,,,11640,,21710,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,chira,258.03,,,1499.4,,,7390,,3900,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,nsoatr,911.46,,,858.06,,,9290,,19350,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,tnkwae,269.55,,,95.93,,,820,,5450,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,tforik,461.39,,,51.68,,,7400,,8510,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,wkoase,445.57,,,105.3,,,6140,,7060,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,mks1,222.62,,,232.52,,,6190,,2330,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,mks2,378.7,,,423.18,,,3420,,2710,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,mks3,620.31,,,1025.37,,,4850,,5990,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,mks4,,,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,salt1,447.89,,,372.56,,,13110,,3640,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,salt2,818.61,,,429.33,,,3900,,2370,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,afosu,200.67,,,308.53,,,9320,,3300,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,asik,1160,,,707.72,,,8730,,530,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,ajuk,618.37,,,262.77,,,4260,,3330,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,jamr,1304.89,,,178.99,,,8500,,5770,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,kunt,359.88,,,234.33,,,3460,,5180,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,kas1,398.49,,,273.26,,,3950,,1740,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,kas2,398.49,,,273.26,,,2950,,3110,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,kas3,438.97,,,193.15,,,2930,,4380,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,fett,1346.39,,,2280.98,,,6480,,10400,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,apajn,949.75,,,511.13,,72,1660,,9670,9000,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,eshie,811.58,,,77.52,,,4570,,4970,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Tues.19.NOV,swed,412.7,,,174.41,,,2790,,12350,,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,
